molecule_id,original_smiles,fragment_smiles,dealed_smiles
0,[*]N1CCC(CC1)N2C=C(C=N2)C3=CC(=C(N=C3)N)O[C@H](C)C4=C(C=CC(=C4Cl)F)Cl,*N1CCCCC1,C[C@@H](Oc1cc(-c2cnn(C3CC[NH:1]CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
1,[*]NC1=NC=CC(=N1)C2=CC(=O)N(C=C2)[C@H](CO)C3=CC(=C(C=C3)Cl)F,*N,O=c1cc(-c2ccnc([NH2:1])n2)ccn1[C@H](CO)c1ccc(Cl)c(F)c1
2,[*]C(=O)CCN(C1=CC=C(C=C1)C(F)(F)F)C(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)(C)C)NC(=O)C3=CC4=C(S3)C=CC(=C4)C(F)(F)P(=O)(O)O,*C(C)=O,CC(C)(C)[C@H](NC(=O)c1cc2cc(C(F)(F)P(=O)(O)O)ccc2s1)C(=O)N1CCC[C@H]1C(=O)N(CCC(=O)[OH:1])c1ccc(C(F)(F)F)cc1
3,[*]N1CCN(CC1)C2=CC=C(C=C2)C3=CC4=C(NC=C4C5=CC(=C(C=C5)OC)OC)N=C3,*N1CCNCC1,COc1ccc(-c2c[nH]c3ncc(-c4ccc(N5CC[NH:1]CC5)cc4)cc23)cc1OC
4,[*]OC1=C(C=CC(=C1)C2=C(N=CS2)C)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C)O,*O,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1[OH:1])C(C)(C)C
5,[*]C1=NC2=C(C(=C(C=C2C(=N1)N3CCN(CC3)C(=O)C=C)Cl)C4=CC(=CC5=CC=CC=C54)O)F,*c1ncc2ccccc2n1,C=CC(=O)N1CCN(c2nc([Br:1])nc3c(F)c(-c4cc(O)cc5ccccc45)c(Cl)cc23)CC1
6,[*]OCCOCCOCCNC1=NC(=NC(=N1)N2CCN(CC2)C(=O)[C@H](CC3=CC=C(C=C3)O)N4C=C(N=N4)[C@H]([C@@H](C)CC)N)N5CCN(CC5)C(=O)[C@H](CC6=CC=C(C=C6)O)N7C=C(N=N7)[C@H]([C@@H](C)CC)N,*O,CC[C@H](C)[C@H](N)c1cn([C@@H](Cc2ccc(O)cc2)C(=O)N2CCN(c3nc(NCCOCCOCC[OH:1])nc(N4CCN(C(=O)[C@H](Cc5ccc(O)cc5)n5cc([C@@H](N)[C@@H](C)CC)nn5)CC4)n3)CC2)nn1
7,[*]N1CCC(CC1)OC2=NC3=C(C=NN3C(=N2)NCC4=CC=CC=C4N5C=CN=C5)C(C)C,*N1CCCCC1,CC(C)c1cnn2c(NCc3ccccc3-n3ccnc3)nc(OC3CC[NH:1]CC3)nc12
8,[*]C(=O)N(CC1=CC(=C(C(=C1)F)F)F)C(C2=C(NC3=C2C=CC(=C3)Cl)C(=O)NCC)C(=O)NC(C)(C)C,*C(N)=O,CCNC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)[NH:1]Cc1cc(F)c(F)c(F)c1
9,[*]C(=O)CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,*C(C)=O,O=C1NC(=O)C(c2cn(CC(=O)[OH:1])c3ccccc23)=C1c1ccc(Cl)cc1Cl
10,[*]C1=C(C=C(C=C1)C2=CN3CCCC3=N2)CNC(=O)CC4=CC(=C(C=C4)Cl)Cl,*c1ccccc1,O=C(Cc1ccc(Cl)c(Cl)c1)NCc1cc(-c2cn3c(n2)CCC3)ccc1[Br:1]
11,[*]C[C@@H](C1=CC=CC=C1)N2C=C(C=N2)NC(=O)C3=NNC4=C3CCC(C4)(C)C,*C,CC1(C)CCc2c(C(=O)Nc3cnn([C@@H](C[Br:1])c4ccccc4)c3)n[nH]c2C1
12,[*]C(=O)CCN(C1=CC=C(C=C1)C2=NC=CS2)C(=O)[C@@H]3CCCN3C(=O)[C@H](C(C)(C)C)NC(=O)C4=CC5=C(S4)C=CC(=C5)C(F)(F)P(=O)(O)O,*C(C)=O,CC(C)(C)[C@H](NC(=O)c1cc2cc(C(F)(F)P(=O)(O)O)ccc2s1)C(=O)N1CCC[C@H]1C(=O)N(CCC(=O)[OH:1])c1ccc(-c2nccs2)cc1
13,[*]N1C(=O)C2=CC(=C(N=C2N(C1=O)C3CC3)N)C(=O)N,*n1cnc2ncccc2c1,NC(=O)c1cc2c(=O)[n:1]c(=O)n(C3CC3)c2nc1N
14,[*]N1CCN(CC1)C2CCN(CC2)C3=C(C=C(C=C3)NC4=NC(=C(N=C4C(=O)N)CC)NC5CCOCC5)OC,*N1CCNCC1,CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CC[NH:1]CC4)CC3)c(OC)c2)nc1NC1CCOCC1
15,[*]N1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C=C(N(C4=N3)C5CCCC5)C(=O)N(C)C,*N1CCNCC1,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CC[NH:1]CC4)cn3)nc2n1C1CCCC1
